Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1969,-19.9,-17.8,-9.6,-0.6,1.9,8.1,14.1,12.2,7.7,1.8,-2.3,-12,-1.4
1970,-12,-15.4,-4.3,-1,5.3,13,18.1,13.2,9,3.1,-6.8,-8.2,1.2
1971,-8.2,-16.1,-9,-2.7,3,9.8,14.1,12.9,7.4,-1.1,-6.2,-11.8,-0.7
1972,-15.8,-9.8,-6.3,0,4.5,13.9,19.4,17.1,6.5,2.5,-7.5,-2.4,1.8
1973,-13.1,-10.1,-6.5,1.8,8.6,14.4,15.6,12.9,4.3,-0.6,-7.1,-13.3,0.6
1974,-13.7,-7.5,-2.6,-1.7,3.3,15.3,20,14.7,11.2,2.2,-6.3,-2.7,2.7
1975,-9.9,-10.6,-1.5,1.9,9,11.5,15.9,11.3,10.7,0.5,-2.2,-6.6,2.5
1976,-17.9,-12.6,-6.8,0.8,6.8,10.2,14.3,12.3,6.7,-1.6,-4.6,-5.9,0.1
1977,-13.1,-13.1,-7.3,1.2,7.7,13.9,17.5,12.9,6.6,-1.4,-1.3,-10,1.1
1978,-12.6,-17.7,-5.9,-3.4,5.6,10.1,13.6,11.2,7.1,1.3,-3.6,-21.4,-1.3
1979,-16.3,-16.1,-5,-3.5,9.4,10.3,15.4,13.1,8.2,-1.5,-2,-7.3,0.4
1980,-15.1,-10.4,-8.5,0.2,5.3,16,12.9,11.1,8.1,2.1,-8.3,-10.1,0.3
1981,-8.5,-9.9,-9.9,-2.6,5.8,13.1,17.3,14.9,8,5.5,-2.3,-10.1,1.8
1982,-20.8,-8.7,-5.5,0.9,8.1,8.1,16,11.6,8,-1.3,-0.4,-5.9,0.8
1983,-8.9,-11.5,-6.5,3.6,7.5,11.8,16.2,11.5,9,2.5,-7.7,-8.4,1.6
1984,-9.3,-8,-6.2,-0.3,11.3,14,16.6,11.5,7.5,-0.3,-6.4,-10.9,1.6
1985,-25.3,-22.4,-4.4,-2.7,4,13.3,14.8,14.9,8.9,2.8,-4.4,-17.2,-1.5
1986,-15,-17,-2.4,0.9,5.9,14.1,14.6,11.1,4.9,2.7,0.2,-14.4,0.5
1987,-20.9,-13.6,-7.8,-1.4,7.1,13.3,13,11.4,7.2,4.8,-10.8,-13.6,-0.9
1988,-12.8,-9.7,-3.6,-2.7,5.7,14.5,18.3,14,7.9,2.9,-9,-11.4,1.2
1989,-9.5,-6.8,-0.7,3,10.1,17.6,16.3,13.9,9.6,1.3,-4.5,-11.6,3.2
1990,-16.4,-1.5,-3.1,3.1,4.6,11.9,17.2,13.2,5.4,0.5,-7.9,-6.4,1.7
1991,-15,-9.9,-9.1,1.3,7.4,15,14.9,13.1,7.1,4.3,-0.5,-9.9,1.6
1992,-12.8,-7,-1.8,-1.8,8.4,11.3,14,11.9,11.7,-4.1,-10.3,-3.5,1.3
1993,-9.3,-7.9,-4.5,-0.9,7.1,12,16.3,13.1,4.2,0.4,-11.7,-10.8,0.7
1994,-10.7,-14.9,-4,3.1,3.8,13.3,14.2,12.7,7.7,2.5,-8.2,-7.6,1
1995,-7.3,-5.8,-2.7,2.8,8.1,14.3,13.9,13.3,8.9,3.2,-7.9,-13.1,2.3
1996,-8.9,-13,-5.3,-1.6,5.7,11.5,14.4,13.5,6,3,1,-9.1,1.4
1997,-14.8,-11.3,-5.2,-1.7,5.4,14.3,13.6,14.1,8.5,-0.2,-6.8,-12.3,0.3
1998,-10.5,-21.7,-7.7,-4.7,6.7,13.6,18.1,12.3,7.6,2.7,-7.4,-12.1,-0.3
1999,-18.3,-13.5,-6.2,1.9,1.2,15.9,17,11.8,9,5,-8.7,-6.1,0.8
2000,-12.8,-7.5,-3.8,2.6,6.9,14.7,18.7,12.8,8.4,5.7,-4,-10.9,2.6
2001,-7.2,-15.8,-9.7,4.1,5.5,13.7,17.9,12.6,10.4,0,-7.1,-13.7,0.9
2002,-13,-7.3,-5.1,2,5.7,12.5,16.8,11,6.6,-0.2,-9.9,-13.4,0.5
2003,-18.4,-9.2,-3.9,-0.3,9.8,8.3,19.7,15.6,8.9,3.5,-2,-6.1,2.2
2004,-10.5,-11.4,-5.1,-0.7,7.9,12.3,18.6,13.5,9.4,2.4,-4.9,-8.1,2
2005,-7.2,-10.9,-11,0,8.6,13.3,16.9,16,9.9,5.4,2.3,-9.5,2.8
2006,-14.6,-15.8,-9.7,2.4,8.5,15.6,14,13.3,9.5,1.2,-4.8,-2.2,1.5
2007,-7,-18,-0.1,1.4,7.9,10.2,17.5,16.3,9,5,-4.9,-2.5,2.9
2008,-7,-7,-6.4,0.2,4.4,12,15.7,11.6,7,4.8,-0.3,-2.7,2.7
2009,-12,-10.3,-4.7,-2,7.3,12.9,15.5,13.1,11.3,1,-2.1,-12.3,1.5
2010,-16.9,-14.6,-7.8,2.8,11.8,12,20,14.3,9.1,2.8,-6.4,-16.6,0.9
2011,-14.5,-19.2,-4.3,2.1,8.7,15.2,19.6,12.9,9.5,4.6,-1.2,-1.1,2.7
2012,-10.4,-15.2,-7.8,1.2,9.4,13.5,16.6,13.4,9.4,3.8,-2.1,-15,1.4
2013,-9.8,-5.4,-14.2,1.2,9,16.2,16.7,15.5,8.4,2.5,-0.1,-4.6,3
2014,-13.2,-6.6,-2.8,0.5,8,12.5,15.8,16.1,9.6,-1.6,-2.2,-6.9,2.4
2015,-12.9,-5.9,-0.6,1.7,11.6,13.7,12.7,12.1,10.6,3,-3.4,-4.9,3.1
2016,-18.2,-3.2,-2.4,3.7,11.5,13.7,19.2,16.1,9,3,-7.5,-7.3,3.1
2017,-10,-8.2,-1.5,-1,3,9.7,17.7,15.5,7.7,2.7,-1.2,-4,2.5
2018,-5.8,-13.3,-12,0.9,9.3,12.1,19.4,15.3,10.8,3.5,-1,-8.4,2.6
2019,-12.8,-7.1,-3.6,1.7,8.4,13.3,13.5,11.4,999.9,999.9,999.9,999.9,999.9
